elevator,reason,out_of_service,first_missed,estimated_return,difference (min),duration (min)
EL412,Maintenance,Wed Mar 21 2018 05:57:00 GMT-0400 (EDT),Wed Mar 21 2018 10:19:08 GMT-0400 (EDT),Wed Mar 21 2018 10:00:00 GMT-0400 (EDT),19.140383333333332,262.1403833333333
EL186,Maintenance,Tue Mar 20 2018 05:14:00 GMT-0400 (EDT),Wed Mar 21 2018 10:09:07 GMT-0400 (EDT),Wed Mar 21 2018 10:00:00 GMT-0400 (EDT),9.124516666666667,1735.1245166666668
EL214,Maintenance,Wed Mar 21 2018 04:57:00 GMT-0400 (EDT),Wed Mar 21 2018 10:29:10 GMT-0400 (EDT),Wed Mar 21 2018 10:00:00 GMT-0400 (EDT),29.1722,332.1722
EL331,Maintenance,Wed Mar 21 2018 04:55:00 GMT-0400 (EDT),Wed Mar 21 2018 07:27:08 GMT-0400 (EDT),Wed Mar 21 2018 10:00:00 GMT-0400 (EDT),-152.86355,152.13645
EL422,Maintenance,Wed Mar 21 2018 04:45:00 GMT-0400 (EDT),Wed Mar 21 2018 09:59:08 GMT-0400 (EDT),Wed Mar 21 2018 10:00:00 GMT-0400 (EDT),-0.8606166666666667,314.13938333333334
EL182,Maintenance,Wed Mar 21 2018 04:40:00 GMT-0400 (EDT),Wed Mar 21 2018 10:22:08 GMT-0400 (EDT),Wed Mar 21 2018 10:00:00 GMT-0400 (EDT),22.145950000000003,342.14595
EL132,Maintenance,Wed Mar 21 2018 04:50:00 GMT-0400 (EDT),Wed Mar 21 2018 10:15:07 GMT-0400 (EDT),Wed Mar 21 2018 10:00:00 GMT-0400 (EDT),15.117966666666666,325.1179666666667
EL244,Cleaning,Wed Mar 21 2018 04:49:00 GMT-0400 (EDT),Wed Mar 21 2018 05:19:07 GMT-0400 (EDT),Wed Mar 21 2018 10:00:00 GMT-0400 (EDT),-280.87575,30.12425
EL324,Maintenance,Wed Mar 21 2018 04:41:00 GMT-0400 (EDT),Wed Mar 21 2018 10:12:08 GMT-0400 (EDT),Wed Mar 21 2018 10:00:00 GMT-0400 (EDT),12.14465,331.14465
EL184,Maintenance,Wed Mar 21 2018 04:41:00 GMT-0400 (EDT),Wed Mar 21 2018 10:24:07 GMT-0400 (EDT),Wed Mar 21 2018 10:00:00 GMT-0400 (EDT),24.132883333333332,343.1328833333334
EL204,Repair,Wed Mar 21 2018 02:25:00 GMT-0400 (EDT),Wed Mar 21 2018 08:07:07 GMT-0400 (EDT),Wed Mar 21 2018 10:00:00 GMT-0400 (EDT),-112.86774999999999,342.13225
EL295X,Repair,Tue Mar 20 2018 22:30:00 GMT-0400 (EDT),Thu Mar 29 2018 01:21:08 GMT-0400 (EDT),Wed Mar 21 2018 10:00:00 GMT-0400 (EDT),11001.148483333332,11691.148483333332
EL208X,Repair,Tue Mar 20 2018 21:16:00 GMT-0400 (EDT),Wed Mar 21 2018 09:52:08 GMT-0400 (EDT),Wed Mar 21 2018 10:00:00 GMT-0400 (EDT),-7.8618500000000004,756.13815
EL211,Maintenance,Wed Mar 21 2018 07:48:00 GMT-0400 (EDT),Wed Mar 21 2018 10:34:08 GMT-0400 (EDT),Wed Mar 21 2018 10:15:00 GMT-0400 (EDT),19.1479,166.1479
EL335,Inspection,Wed Mar 21 2018 05:40:00 GMT-0400 (EDT),Wed Mar 21 2018 09:56:08 GMT-0400 (EDT),Wed Mar 21 2018 10:15:00 GMT-0400 (EDT),-18.85965,256.14035
